away_team,away_team_errors,away_team_hits,away_team_runs,date,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,attendance
Baltimore Orioles,1,12,4,6,204.79999999999998,"Day Game, on grass",Seattle Mariners,1,10,9,13, Safeco Field,31405
New York Yankees,0,10,6,6,199.20000000000002,"Day Game, on grass",San Diego Padres,1,8,3,13, Petco Park,42131
Kansas City Royals,0,7,2,6,187.2,"Day Game, on grass",Philadelphia Phillies,0,11,7,13, Citizens Bank Park,20473
Pittsburgh Pirates,0,11,6,6,236.0,"Day Game, on grass",Oakland Athletics,0,10,3,13, Oakland-Alameda County Coliseum,21831
Chicago Cubs,0,11,3,6,207.2,"Day Game, on grass",New York Mets,1,22,14,13, Citi Field,36137
Texas Rangers,1,8,4,6,186.4,"Day Game, on grass",Minnesota Twins,1,11,5,13, Target Field,26942
Colorado Rockies,0,4,1,6,203.2,"Day Game, on grass",Los Angeles Dodgers,0,7,4,13, Dodger Stadium,41836
Chicago White Sox,0,9,4,6,212.8,"Day Game, on grass",Houston Astros,0,3,1,13, Minute Maid Park,30379
Los Angeles Angels of Anaheim,1,10,5,6,263.2,"Day Game, on grass",Boston Red Sox,0,16,10,13, Fenway Park,36801
Miami Marlins,1,13,5,6,214.39999999999998,"Night Game, on grass",Atlanta Braves,0,5,2,20, Fort Bragg Park,12582
San Francisco Giants,1,9,5,6,255.20000000000002,"Day Game, on grass",Arizona Diamondbacks,0,9,4,13, Chase Field,26171
Cincinnati Reds,1,14,9,5,236.0,"Night Game, on grass",Washington Nationals,2,3,4,19, Nationals Park,35195
Cleveland Indians,1,10,6,5,210.4,"Day Game, on turf",Toronto Blue Jays,0,12,9,13, Rogers Centre,46197
Detroit Tigers,1,5,3,5,204.79999999999998,"Day Game, on turf",Tampa Bay Rays,1,5,2,16, Tropicana Field,17861
Milwaukee Brewers,0,7,0,5,184.0,"Day Game, on grass",St. Louis Cardinals,0,8,3,14, Busch Stadium III,40573
Baltimore Orioles,0,12,6,5,204.0,"Night Game, on grass",Seattle Mariners,1,16,12,19, Safeco Field,29362
New York Yankees,0,6,1,5,188.8,"Night Game, on grass",San Diego Padres,0,7,2,19, Petco Park,42315
Kansas City Royals,0,10,6,5,195.20000000000002,"Night Game, on grass",Philadelphia Phillies,1,7,2,17, Citizens Bank Park,40331
Pittsburgh Pirates,0,9,4,5,210.4,"Night Game, on grass",Oakland Athletics,0,11,2,19, Oakland-Alameda County Coliseum,28846
Chicago Cubs,0,6,3,5,189.6,"Night Game, on grass",New York Mets,1,8,4,19, Citi Field,41151
Texas Rangers,1,10,5,5,189.6,"Day Game, on grass",Minnesota Twins,0,13,17,13, Target Field,21466
Chicago White Sox,1,13,7,5,194.39999999999998,"Day Game, on grass",Houston Astros,0,7,6,15, Minute Maid Park,35116
Los Angeles Angels of Anaheim,1,22,21,5,240.79999999999998,"Night Game, on grass",Boston Red Sox,4,8,2,19, Fenway Park,36552
Miami Marlins,1,7,1,5,164.79999999999998,"Day Game, on grass",Atlanta Braves,0,9,9,16, Turner Field,23448
San Francisco Giants,0,7,5,5,208.0,"Night Game, on grass",Arizona Diamondbacks,1,9,6,19, Chase Field,30683
Cincinnati Reds,0,11,2,4,288.0,"Night Game, on grass",Washington Nationals,0,10,3,18, Nationals Park,27631
Cleveland Indians,0,15,2,4,380.8,"Day Game, on turf",Toronto Blue Jays,2,11,1,13, Rogers Centre,45825
Detroit Tigers,0,14,10,4,189.6,"Night Game, on turf",Tampa Bay Rays,2,4,2,19, Tropicana Field,13537
Milwaukee Brewers,2,4,1,4,195.20000000000002,"Night Game, on grass",St. Louis Cardinals,2,11,7,19, Busch Stadium III,42987
Baltimore Orioles,0,5,2,4,176.0,"Night Game, on grass",Seattle Mariners,1,10,5,19, Safeco Field,33006
New York Yankees,1,7,6,4,199.20000000000002,"Night Game, on grass",San Diego Padres,1,8,7,19, Petco Park,41321
Kansas City Royals,2,8,3,4,189.6,"Night Game, on grass",Philadelphia Phillies,0,12,4,19, Citizens Bank Park,30263
Pittsburgh Pirates,1,8,7,4,192.0,"Night Game, on grass",Oakland Athletics,0,4,3,19, Oakland-Alameda County Coliseum,15710
Chicago Cubs,0,6,2,4,209.6,"Night Game, on grass",New York Mets,0,12,10,19, Citi Field,34294
Texas Rangers,0,8,3,4,186.4,"Night Game, on grass",Minnesota Twins,0,7,2,19, Target Field,25530
Colorado Rockies,0,3,0,4,204.79999999999998,"Night Game, on grass",Los Angeles Dodgers,0,9,5,19, Dodger Stadium,43644
Chicago White Sox,1,5,0,4,212.8,"Night Game, on grass",Houston Astros,0,6,5,19, Minute Maid Park,31965
Los Angeles Angels of Anaheim,0,12,4,4,237.6,"Night Game, on grass",Boston Red Sox,0,16,5,19, Fenway Park,37117
Miami Marlins,1,17,7,4,248.0,"Night Game, on grass",Atlanta Braves,0,11,5,19, Turner Field,32036
San Francisco Giants,1,10,6,4,203.2,"Night Game, on grass",Arizona Diamondbacks,0,9,4,18, Chase Field,24859
Cincinnati Reds,0,9,4,3,191.2,"Night Game, on grass",Washington Nationals,0,11,13,19, Nationals Park,29386
Cleveland Indians,0,10,4,3,172.8,"Night Game, on turf",Toronto Blue Jays,0,3,1,19, Rogers Centre,41365
Detroit Tigers,1,11,10,3,220.0,"Night Game, on turf",Tampa Bay Rays,0,14,7,19, Tropicana Field,10729
Kansas City Royals,0,7,4,3,200.0,"Night Game, on grass",St. Louis Cardinals,3,3,2,18, Busch Stadium III,44802
Baltimore Orioles,1,8,3,3,189.6,"Night Game, on grass",Seattle Mariners,0,9,5,19, Safeco Field,23715
San Francisco Giants,1,14,12,3,248.8,"Night Game, on grass",Oakland Athletics,0,10,6,19, Oakland-Alameda County Coliseum,36067
Chicago Cubs,1,9,3,3,215.20000000000002,"Night Game, on grass",New York Mets,0,6,4,19, Citi Field,40122
Texas Rangers,0,4,1,3,199.20000000000002,"Day Game, on grass",New York Yankees,0,5,2,13, Yankee Stadium III,39934
Los Angeles Dodgers,2,14,8,3,210.4,"Day Game, on grass",Milwaukee Brewers,0,4,1,13, Miller Park,33029
Minnesota Twins,1,8,5,3,184.79999999999998,"Day Game, on grass",Chicago White Sox,0,12,6,13, U.S. Cellular Field,26158
Miami Marlins,1,7,5,3,232.8,"Night Game, on grass",Atlanta Braves,1,14,8,19, Turner Field,16097
New York Mets,1,6,2,2,181.6,"Night Game, on grass",Washington Nationals,0,5,4,19, Nationals Park,33386
Boston Red Sox,0,5,0,2,198.4,"Day Game, on turf",Tampa Bay Rays,1,9,4,12, Tropicana Field,24110
Houston Astros,1,12,10,2,208.8,"Day Game, on grass",Los Angeles Angels of Anaheim,2,11,4,12, Angel Stadium of Anaheim,36683
New York Mets,0,5,0,1,195.20000000000002,"Night Game, on grass",Washington Nationals,0,7,5,20, Nationals Park,29918
Boston Red Sox,0,11,8,1,197.6,"Night Game, on turf",Tampa Bay Rays,0,6,2,19, Tropicana Field,16986
Oakland Athletics,0,12,13,1,264.79999999999995,"Night Game, on grass",San Francisco Giants,1,18,11,19, AT&T Park,41730
Pittsburgh Pirates,1,7,2,1,204.79999999999998,"Night Game, on grass",Seattle Mariners,1,12,5,19, Safeco Field,24836
Baltimore Orioles,1,17,11,1,192.8,"Night Game, on grass",San Diego Padres,1,8,7,19, Petco Park,31515
Texas Rangers,0,11,7,1,179.20000000000002,"Night Game, on grass",New York Yankees,0,8,1,19, Yankee Stadium III,32373
Los Angeles Dodgers,1,12,6,1,220.0,"Night Game, on grass",Milwaukee Brewers,2,4,5,19, Miller Park,33819
St. Louis Cardinals,1,9,8,1,200.0,"Night Game, on grass",Kansas City Royals,1,11,4,19, Kauffman Stadium,32909
Miami Marlins,0,16,5,1,180.0,"Night Game, on grass",Detroit Tigers,3,9,7,19, Comerica Park,30808
Toronto Blue Jays,1,18,14,1,261.6,"Night Game, on grass",Colorado Rockies,4,14,9,21, Coors Field,33917
Chicago Cubs,1,9,7,1,308.79999999999995,"Night Game, on grass",Cincinnati Reds,1,8,2,19, Great American Ball Park,35999
Minnesota Twins,1,7,4,1,201.6,"Night Game, on grass",Chicago White Sox,0,6,0,19, U.S. Cellular Field,22072
Cleveland Indians,0,9,5,1,184.0,"Night Game, on grass",Atlanta Braves,1,5,3,19, Turner Field,19206
Philadelphia Phillies,0,11,4,1,234.39999999999998,"Night Game, on grass",Arizona Diamondbacks,0,10,3,18, Chase Field,19645
Houston Astros,1,12,7,1,191.2,"Night Game, on grass",Los Angeles Angels of Anaheim,1,8,1,19, Angel Stadium of Anaheim,38781
New York Mets,0,14,4,0,232.8,"Night Game, on grass",Washington Nationals,0,17,11,19, Nationals Park,33109
Boston Red Sox,2,12,7,0,226.4,"Night Game, on turf",Tampa Bay Rays,0,18,13,19, Tropicana Field,18024
