away_team,away_team_errors,away_team_hits,away_team_runs,date,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,attendance
San Francisco Giants,1,12,9,5,248.8,"Night Game, on grass",San Diego Padres,2,8,6,17, Petco Park,31171
Washington Nationals,0,12,6,5,224.79999999999998,"Night Game, on grass",Pittsburgh Pirates,3,8,1,19, PNC Park,30137
Texas Rangers,0,9,5,5,212.8,"Day Game, on grass",Oakland Athletics,1,5,0,13, Oakland-Alameda County Coliseum,16736
Philadelphia Phillies,2,17,10,5,255.20000000000002,"Night Game, on grass",New York Mets,0,11,8,19, Citi Field,39995
Seattle Mariners,0,5,2,5,129.60000000000002,"Night Game, on grass",Minnesota Twins,2,3,3,18, Target Field,24749
Cincinnati Reds,0,10,6,5,181.6,"Night Game, on grass",Milwaukee Brewers,1,6,1,18, Miller Park,31398
Atlanta Braves,0,8,4,5,213.6,"Night Game, on grass",Miami Marlins,0,9,6,19, Marlins Park,26178
Colorado Rockies,3,6,1,5,186.4,"Night Game, on grass",Los Angeles Dodgers,0,13,14,18, Dodger Stadium,53299
Los Angeles Angels of Anaheim,1,12,10,5,231.2,"Night Game, on grass",Houston Astros,2,8,4,18, Minute Maid Park,27565
Kansas City Royals,1,10,7,5,260.0,"Day Game, on grass",Detroit Tigers,1,14,4,13, Comerica Park,31721
Chicago White Sox,1,15,8,5,224.79999999999998,"Night Game, on grass",Cleveland Indians,3,8,1,19, Progressive Field,32088
St. Louis Cardinals,0,14,10,5,210.4,"Day Game, on grass",Chicago Cubs,1,8,4,12, Wrigley Field,40785
Arizona Diamondbacks,2,7,1,5,177.6,"Night Game, on grass",Baltimore Orioles,0,10,6,19, Oriole Park at Camden Yards,40610
Chicago White Sox,2,7,4,4,183.2,"Night Game, on grass",Cleveland Indians,0,13,10,19, Progressive Field,18937
St. Louis Cardinals,0,5,0,4,204.79999999999998,"Day Game, on grass",Chicago Cubs,0,9,5,13, Wrigley Field,40791
Arizona Diamondbacks,2,9,2,4,240.0,"Night Game, on grass",Baltimore Orioles,0,9,3,19, Oriole Park at Camden Yards,37815
New York Yankees,0,8,0,3,179.20000000000002,"Night Game, on turf",Tampa Bay Rays,1,7,2,19, Tropicana Field,13355
San Francisco Giants,1,6,2,3,208.0,"Night Game, on grass",San Diego Padres,0,6,1,19, Petco Park,25789
Philadelphia Phillies,1,9,8,3,276.8,"Night Game, on grass",New York Mets,0,11,9,19, Citi Field,35759
Detroit Tigers,0,6,4,3,196.0,"Night Game, on grass",Minnesota Twins,2,4,2,19, Target Field,21599
Detroit Tigers,1,9,9,3,194.39999999999998,"Day Game, on grass",Minnesota Twins,1,5,2,13, Target Field,18374
Pittsburgh Pirates,0,5,1,3,182.4,"Night Game, on grass",Milwaukee Brewers,0,4,3,19, Miller Park,24582
Atlanta Braves,1,7,6,3,193.6,"Night Game, on grass",Miami Marlins,0,6,3,19, Marlins Park,22086
Colorado Rockies,0,7,4,3,209.6,"Night Game, on grass",Los Angeles Dodgers,1,9,7,19, Dodger Stadium,48344
Los Angeles Angels of Anaheim,1,5,2,3,185.60000000000002,"Night Game, on grass",Houston Astros,1,8,0,19, Minute Maid Park,20022
Kansas City Royals,0,6,2,3,184.0,"Night Game, on grass",Cleveland Indians,1,5,5,19, Progressive Field,15253
Boston Red Sox,0,9,5,3,210.4,"Night Game, on grass",Baltimore Orioles,1,6,3,19, Oriole Park at Camden Yards,26788
Los Angeles Angels of Anaheim,0,8,5,2,193.6,"Night Game, on grass",Texas Rangers,2,8,4,19, Globe Life Park in Arlington,35609
New York Yankees,0,17,11,2,189.6,"Night Game, on turf",Tampa Bay Rays,0,8,5,19, Tropicana Field,12192
Toronto Blue Jays,2,6,1,2,276.8,"Day Game, on grass",Seattle Mariners,0,6,2,12, Safeco Field,39595
Arizona Diamondbacks,0,5,3,2,200.0,"Night Game, on grass",San Diego Padres,0,4,2,18, Petco Park,22110
Chicago White Sox,0,7,3,2,188.8,"Night Game, on grass",Philadelphia Phillies,1,10,8,19, Citizens Bank Park,21703
Houston Astros,1,9,6,2,200.79999999999998,"Day Game, on grass",Oakland Athletics,0,7,5,12, Oakland-Alameda County Coliseum,11197
Atlanta Braves,0,9,4,2,207.2,"Night Game, on grass",New York Mets,2,7,3,19, Citi Field,32187
Pittsburgh Pirates,0,9,4,2,201.6,"Night Game, on grass",Milwaukee Brewers,1,7,1,19, Miller Park,25482
Washington Nationals,0,8,8,2,196.0,"Night Game, on grass",Miami Marlins,3,4,3,19, Marlins Park,17836
San Francisco Giants,1,7,3,2,184.79999999999998,"Night Game, on grass",Los Angeles Dodgers,1,12,9,19, Dodger Stadium,45983
St. Louis Cardinals,2,8,1,2,188.8,"Day Game, on grass",Colorado Rockies,0,12,11,13, Coors Field,26099
Kansas City Royals,0,7,3,2,212.0,"Night Game, on grass",Cleveland Indians,0,13,4,19, Progressive Field,13888
Cincinnati Reds,1,6,2,2,199.20000000000002,"Night Game, on grass",Chicago Cubs,1,15,9,19, Wrigley Field,40434
Boston Red Sox,0,6,5,2,208.0,"Night Game, on grass",Baltimore Orioles,3,4,1,19, Oriole Park at Camden Yards,20865
Los Angeles Angels of Anaheim,0,8,4,1,215.20000000000002,"Night Game, on grass",Texas Rangers,1,12,5,19, Globe Life Park in Arlington,26520
New York Yankees,1,10,5,1,198.4,"Night Game, on turf",Tampa Bay Rays,0,5,3,19, Tropicana Field,12732
Toronto Blue Jays,0,14,10,1,232.8,"Night Game, on grass",Seattle Mariners,1,7,2,19, Safeco Field,33573
Arizona Diamondbacks,0,4,2,1,211.2,"Night Game, on grass",San Diego Padres,1,4,5,20, Petco Park,34319
Chicago White Sox,1,10,6,1,212.0,"Night Game, on grass",Philadelphia Phillies,0,12,7,19, Citizens Bank Park,16096
Houston Astros,0,8,2,1,181.6,"Night Game, on grass",Oakland Athletics,0,3,1,19, Oakland-Alameda County Coliseum,12139
Atlanta Braves,0,10,5,1,224.79999999999998,"Night Game, on grass",New York Mets,0,9,4,19, Citi Field,30761
Detroit Tigers,0,11,8,1,193.6,"Night Game, on grass",Minnesota Twins,0,3,1,19, Target Field,23395
Pittsburgh Pirates,2,13,6,1,192.8,"Night Game, on grass",Milwaukee Brewers,0,7,3,19, Miller Park,20829
Washington Nationals,0,4,0,1,137.6,"Night Game, on grass",Miami Marlins,0,3,1,19, Marlins Park,17961
San Francisco Giants,1,11,2,1,237.6,"Night Game, on grass",Los Angeles Dodgers,0,9,0,19, Dodger Stadium,53621
St. Louis Cardinals,0,14,10,1,213.6,"Night Game, on grass",Colorado Rockies,1,12,5,18, Coors Field,28665
Kansas City Royals,1,6,1,1,192.0,"Night Game, on grass",Cleveland Indians,1,5,2,19, Progressive Field,13623
Cincinnati Reds,0,7,1,1,212.8,"Night Game, on grass",Chicago Cubs,1,11,6,19, Wrigley Field,40586
Boston Red Sox,0,11,5,1,202.4,"Night Game, on grass",Baltimore Orioles,0,6,2,19, Oriole Park at Camden Yards,20387
Los Angeles Angels of Anaheim,0,5,2,0,180.0,"Night Game, on grass",Texas Rangers,1,12,3,19, Globe Life Park in Arlington,29068
Toronto Blue Jays,0,8,3,0,184.79999999999998,"Night Game, on grass",Seattle Mariners,0,3,2,19, Safeco Field,34809
Arizona Diamondbacks,1,7,2,0,193.6,"Night Game, on grass",San Diego Padres,0,8,3,19, Petco Park,20250
Houston Astros,0,7,4,0,185.60000000000002,"Night Game, on grass",Oakland Athletics,0,3,2,19, Oakland-Alameda County Coliseum,10072
Atlanta Braves,0,13,7,0,197.6,"Night Game, on grass",New York Mets,0,8,3,19, Citi Field,29665
Washington Nationals,2,9,3,0,200.0,"Night Game, on grass",Miami Marlins,1,7,4,19, Marlins Park,17214
San Francisco Giants,0,3,1,0,212.8,"Night Game, on grass",Los Angeles Dodgers,1,6,2,19, Dodger Stadium,43435
Chicago White Sox,1,9,3,0,176.0,"Day Game, on grass",Kansas City Royals,0,12,8,13, Kauffman Stadium,31502
St. Louis Cardinals,0,11,5,0,181.6,"Night Game, on grass",Colorado Rockies,1,8,3,18, Coors Field,26783
Cincinnati Reds,0,6,2,0,187.2,"Night Game, on grass",Chicago Cubs,1,9,5,19, Wrigley Field,39251
Boston Red Sox,0,9,5,0,172.8,"Night Game, on grass",Baltimore Orioles,1,4,2,19, Oriole Park at Camden Yards,18456
St. Louis Cardinals,2,9,3,6,198.4,"Day Game, on grass",San Francisco Giants,0,5,0,13, AT&T Park,41324
Houston Astros,0,5,3,6,172.8,"Day Game, on grass",Seattle Mariners,0,12,7,13, Safeco Field,25383
Miami Marlins,0,8,5,6,205.60000000000002,"Day Game, on grass",Philadelphia Phillies,2,8,4,13, Citizens Bank Park,20059
Minnesota Twins,1,8,2,6,212.8,"Day Game, on grass",New York Mets,0,7,3,13, Citi Field,28926
Chicago White Sox,1,11,3,6,186.4,"Day Game, on grass",Kansas City Royals,0,12,10,13, Kauffman Stadium,34982
San Diego Padres,0,6,3,6,212.0,"Day Game, on grass",Colorado Rockies,1,10,6,14, Coors Field,25811
Detroit Tigers,2,11,9,6,240.79999999999998,"Day Game, on grass",Cleveland Indians,0,7,5,13, Progressive Field,21382
Pittsburgh Pirates,1,7,4,6,203.2,"Day Game, on grass",Cincinnati Reds,2,14,7,13, Great American Ball Park,19597
Milwaukee Brewers,0,7,3,6,179.20000000000002,"Day Game, on grass",Chicago Cubs,0,9,1,13, Wrigley Field,41286
New York Yankees,1,11,4,6,229.6,"Night Game, on grass",Boston Red Sox,0,10,5,20, Fenway Park,37306
Tampa Bay Rays,1,6,1,6,181.6,"Day Game, on grass",Baltimore Orioles,0,8,2,13, Oriole Park at Camden Yards,28427
Washington Nationals,0,7,2,6,177.6,"Day Game, on grass",Atlanta Braves,0,12,6,13, Turner Field,37296
Los Angeles Dodgers,1,10,9,6,286.4,"Day Game, on grass",Arizona Diamondbacks,0,16,10,13, Chase Field,26159
Toronto Blue Jays,1,4,0,6,220.0,"Day Game, on grass",Los Angeles Angels of Anaheim,0,10,4,12, Angel Stadium of Anaheim,36270
Oakland Athletics,0,12,11,5,203.2,"Night Game, on grass",Texas Rangers,0,6,2,19, Globe Life Park in Arlington,39691
St. Louis Cardinals,1,7,3,5,204.79999999999998,"Night Game, on grass",San Francisco Giants,1,9,2,18, AT&T Park,41403
Houston Astros,0,5,2,5,172.8,"Night Game, on grass",Seattle Mariners,0,7,1,18, Safeco Field,32304
Miami Marlins,0,3,0,5,187.2,"Night Game, on grass",Philadelphia Phillies,0,11,8,19, Citizens Bank Park,24597
Minnesota Twins,0,8,2,5,264.0,"Night Game, on grass",New York Mets,0,10,3,19, Citi Field,36941
Chicago White Sox,0,8,2,5,177.6,"Night Game, on grass",Kansas City Royals,0,7,3,18, Kauffman Stadium,34805
San Diego Padres,0,4,0,5,204.79999999999998,"Night Game, on grass",Colorado Rockies,0,12,8,18, Coors Field,34724
Detroit Tigers,0,4,0,5,264.79999999999995,"Day Game, on grass",Cleveland Indians,0,4,1,16, Progressive Field,26654
Pittsburgh Pirates,0,11,7,5,226.4,"Night Game, on grass",Cincinnati Reds,1,7,3,18, Great American Ball Park,24397
Pittsburgh Pirates,2,11,10,5,212.0,"Day Game, on grass",Cincinnati Reds,3,11,4,13, Great American Ball Park,17226
Milwaukee Brewers,0,8,11,5,183.2,"Day Game, on grass",Chicago Cubs,1,8,3,15, Wrigley Field,40956
New York Yankees,0,9,5,5,237.6,"Day Game, on grass",Boston Red Sox,0,10,6,13, Fenway Park,37267
Tampa Bay Rays,0,6,5,5,180.0,"Night Game, on grass",Baltimore Orioles,1,7,2,19, Oriole Park at Camden Yards,27823
Washington Nationals,0,7,3,5,221.6,"Day Game, on grass",Atlanta Braves,1,13,7,13, Turner Field,36016
Los Angeles Dodgers,1,11,6,5,199.20000000000002,"Night Game, on grass",Arizona Diamondbacks,1,6,2,17, Chase Field,38255
Toronto Blue Jays,3,10,1,5,192.8,"Night Game, on grass",Los Angeles Angels of Anaheim,0,8,6,18, Angel Stadium of Anaheim,39195
Oakland Athletics,1,10,6,4,183.2,"Night Game, on grass",Texas Rangers,0,12,7,19, Globe Life Park in Arlington,30486
St. Louis Cardinals,1,7,2,4,211.2,"Night Game, on grass",San Francisco Giants,1,7,8,19, AT&T Park,41278
Los Angeles Dodgers,0,5,3,4,231.2,"Night Game, on grass",Arizona Diamondbacks,1,6,2,18, Chase Field,28211
Toronto Blue Jays,0,10,5,4,204.0,"Night Game, on grass",Los Angeles Angels of Anaheim,0,8,0,19, Angel Stadium of Anaheim,42159
St. Louis Cardinals,1,5,2,3,172.8,"Night Game, on grass",San Francisco Giants,0,12,6,19, AT&T Park,41210
Pittsburgh Pirates,0,13,15,3,206.4,"Night Game, on grass",Philadelphia Phillies,1,5,2,19, Citizens Bank Park,15247
Oakland Athletics,1,16,14,3,210.4,"Night Game, on grass",Kansas City Royals,1,9,5,18, Kauffman Stadium,32176
Minnesota Twins,0,11,5,3,186.4,"Day Game, on grass",Detroit Tigers,1,9,1,13, Comerica Park,26932
Milwaukee Brewers,0,7,5,3,196.0,"Night Game, on grass",Chicago Cubs,2,10,4,19, Wrigley Field,41362
Cleveland Indians,0,4,1,3,199.20000000000002,"Day Game, on grass",Chicago White Sox,1,9,2,13, U.S. Cellular Field,14190
New York Yankees,0,14,5,3,263.2,"Night Game, on grass",Boston Red Sox,0,9,7,19, Fenway Park,37767
Tampa Bay Rays,1,12,7,3,223.2,"Night Game, on grass",Baltimore Orioles,0,9,6,19, Oriole Park at Camden Yards,19233
Los Angeles Dodgers,0,9,3,3,182.4,"Night Game, on grass",Arizona Diamondbacks,0,6,7,18, Chase Field,27126
Toronto Blue Jays,1,10,7,3,204.0,"Night Game, on grass",Los Angeles Angels of Anaheim,1,6,2,19, Angel Stadium of Anaheim,37559
New York Mets,0,3,0,2,168.0,"Day Game, on grass",Washington Nationals,0,6,1,16, Nationals Park,29669
Tampa Bay Rays,1,13,8,2,212.8,"Day Game, on turf",Toronto Blue Jays,0,2,1,12, Rogers Centre,41001
Chicago Cubs,0,12,7,2,179.20000000000002,"Day Game, on grass",St. Louis Cardinals,0,3,0,12, Busch Stadium III,44701
San Diego Padres,0,8,3,2,201.6,"Day Game, on grass",San Francisco Giants,0,4,1,12, AT&T Park,41183
Pittsburgh Pirates,2,9,2,2,211.2,"Night Game, on grass",Philadelphia Phillies,0,15,6,19, Citizens Bank Park,16112
Los Angeles Dodgers,1,4,2,2,211.2,"Day Game, on grass",New York Yankees,3,3,0,16, Yankee Stadium III,30254
Oakland Athletics,0,13,8,2,209.6,"Night Game, on grass",Kansas City Royals,1,4,0,18, Kauffman Stadium,30006
Texas Rangers,0,8,4,2,192.8,"Night Game, on grass",Houston Astros,1,12,8,19, Minute Maid Park,25041
Minnesota Twins,0,6,6,2,206.4,"Night Game, on grass",Detroit Tigers,0,13,9,19, Comerica Park,27953
Milwaukee Brewers,1,6,7,2,181.6,"Night Game, on grass",Cincinnati Reds,1,6,0,19, Great American Ball Park,14368
Cleveland Indians,1,10,6,2,196.8,"Night Game, on grass",Chicago White Sox,0,6,1,19, U.S. Cellular Field,15808
Baltimore Orioles,1,5,1,2,176.0,"Night Game, on grass",Boston Red Sox,0,4,0,19, Fenway Park,37973
Miami Marlins,0,8,7,2,186.4,"Night Game, on grass",Atlanta Braves,1,9,5,19, Turner Field,21498
Colorado Rockies,2,13,6,2,258.4,"Night Game, on grass",Arizona Diamondbacks,0,17,11,18, Chase Field,19801
Seattle Mariners,0,6,2,2,181.6,"Night Game, on grass",Los Angeles Angels of Anaheim,0,5,1,19, Angel Stadium of Anaheim,33501
New York Mets,1,12,4,1,215.20000000000002,"Night Game, on grass",Washington Nationals,0,8,3,19, Nationals Park,25796
Tampa Bay Rays,0,7,6,1,196.0,"Night Game, on turf",Toronto Blue Jays,0,9,2,19, Rogers Centre,38338
Chicago Cubs,0,4,2,1,201.6,"Night Game, on grass",St. Louis Cardinals,0,7,4,19, Busch Stadium III,44060
San Diego Padres,0,12,6,1,223.2,"Night Game, on grass",San Francisco Giants,0,12,4,19, AT&T Park,41231
Pittsburgh Pirates,1,7,5,1,199.20000000000002,"Night Game, on grass",Philadelphia Phillies,0,6,3,19, Citizens Bank Park,16190
Los Angeles Dodgers,0,5,0,1,183.2,"Night Game, on grass",New York Yankees,0,8,3,19, Yankee Stadium III,32615
Oakland Athletics,1,6,5,1,209.6,"Night Game, on grass",Kansas City Royals,2,10,4,18, Kauffman Stadium,29523
Texas Rangers,0,6,3,1,156.8,"Night Game, on grass",Houston Astros,1,4,2,19, Minute Maid Park,22133
Minnesota Twins,0,13,8,1,196.8,"Night Game, on grass",Detroit Tigers,0,6,1,19, Comerica Park,26393
Milwaukee Brewers,2,4,4,1,176.0,"Night Game, on grass",Cincinnati Reds,0,10,6,19, Great American Ball Park,12926
Cleveland Indians,0,6,1,1,179.20000000000002,"Night Game, on grass",Chicago White Sox,1,9,8,19, U.S. Cellular Field,15588
Baltimore Orioles,1,9,6,1,226.4,"Night Game, on grass",Boston Red Sox,0,9,3,19, Fenway Park,38041
Miami Marlins,1,10,7,1,218.4,"Night Game, on grass",Atlanta Braves,1,9,5,19, Turner Field,20125
Colorado Rockies,0,8,4,1,224.79999999999998,"Night Game, on grass",Arizona Diamondbacks,0,17,11,18, Chase Field,20897
Seattle Mariners,1,10,8,1,179.20000000000002,"Night Game, on grass",Los Angeles Angels of Anaheim,1,3,0,19, Angel Stadium of Anaheim,32139
New York Mets,0,5,1,0,192.8,"Night Game, on grass",Washington Nationals,0,10,8,19, Nationals Park,22832
Tampa Bay Rays,0,4,2,0,140.8,"Night Game, on turf",Toronto Blue Jays,1,6,3,19, Rogers Centre,35333
Chicago Cubs,0,7,4,0,147.2,"Night Game, on grass",St. Louis Cardinals,1,1,1,19, Busch Stadium III,43397
San Diego Padres,0,9,4,0,206.4,"Night Game, on grass",San Francisco Giants,0,5,0,19, AT&T Park,41233
Pittsburgh Pirates,1,5,2,0,208.8,"Night Game, on grass",Philadelphia Phillies,2,9,6,19, Citizens Bank Park,15514
Los Angeles Dodgers,0,12,8,0,200.79999999999998,"Night Game, on grass",New York Yankees,1,5,2,19, Yankee Stadium III,32058
Oakland Athletics,0,17,16,0,216.8,"Night Game, on grass",Kansas City Royals,1,7,3,18, Kauffman Stadium,31061
Texas Rangers,0,9,4,0,256.8,"Night Game, on grass",Houston Astros,1,7,3,19, Minute Maid Park,22147
Minnesota Twins,0,5,2,0,186.4,"Night Game, on grass",Detroit Tigers,0,6,4,19, Comerica Park,28093
Milwaukee Brewers,0,6,0,0,171.2,"Night Game, on grass",Cincinnati Reds,1,7,3,19, Great American Ball Park,14671
Cleveland Indians,2,8,4,0,228.0,"Night Game, on grass",Chicago White Sox,2,16,11,19, U.S. Cellular Field,12588
Baltimore Orioles,1,2,2,0,184.0,"Night Game, on grass",Boston Red Sox,1,16,12,19, Fenway Park,37551
Miami Marlins,1,17,7,0,236.0,"Night Game, on grass",Atlanta Braves,0,17,12,19, Turner Field,18271
Colorado Rockies,1,14,9,0,247.2,"Night Game, on grass",Arizona Diamondbacks,1,16,12,18, Chase Field,20637
Philadelphia Phillies,0,7,2,6,198.4,"Day Game, on grass",Washington Nationals,1,4,3,13, Nationals Park,31805
Boston Red Sox,2,11,11,6,253.6,"Day Game, on turf",Toronto Blue Jays,1,8,8,13, Rogers Centre,47816
Milwaukee Brewers,1,4,2,6,172.8,"Day Game, on grass",St. Louis Cardinals,0,5,1,13, Busch Stadium III,44703
Colorado Rockies,0,7,3,6,184.79999999999998,"Day Game, on grass",San Diego Padres,0,5,2,13, Petco Park,25133
Cincinnati Reds,1,13,8,6,209.6,"Day Game, on grass",Pittsburgh Pirates,1,7,0,13, PNC Park,26744
Seattle Mariners,0,12,3,6,203.2,"Day Game, on grass",Oakland Athletics,1,7,2,13, Oakland-Alameda County Coliseum,13610
Tampa Bay Rays,1,9,4,6,212.8,"Day Game, on grass",New York Yankees,0,7,2,13, Yankee Stadium III,33087
Cleveland Indians,1,13,7,6,200.79999999999998,"Day Game, on grass",Minnesota Twins,4,5,1,13, Target Field,20301
Los Angeles Dodgers,2,4,0,6,161.6,"Day Game, on grass",Miami Marlins,0,10,3,13, Marlins Park,20188
Chicago Cubs,0,10,9,6,191.2,"Night Game, on grass",Houston Astros,1,7,5,19, Minute Maid Park,31939
Baltimore Orioles,0,8,3,6,216.8,"Day Game, on grass",Detroit Tigers,0,5,1,13, Comerica Park,33069
Kansas City Royals,0,10,2,6,214.39999999999998,"Day Game, on grass",Chicago White Sox,0,2,0,13, U.S. Cellular Field,20107
New York Mets,0,11,10,6,209.6,"Day Game, on grass",Atlanta Braves,0,11,3,13, Turner Field,32829
San Francisco Giants,0,8,5,6,210.4,"Day Game, on grass",Arizona Diamondbacks,0,11,3,13, Chase Field,26008
Texas Rangers,0,5,2,6,169.6,"Day Game, on grass",Los Angeles Angels of Anaheim,0,8,3,12, Angel Stadium of Anaheim,35052
Philadelphia Phillies,0,5,0,5,188.0,"Night Game, on grass",Washington Nationals,0,7,3,19, Nationals Park,36152
Boston Red Sox,1,4,2,5,184.79999999999998,"Day Game, on turf",Toronto Blue Jays,1,6,3,13, Rogers Centre,47829
Milwaukee Brewers,1,6,1,5,182.4,"Night Game, on grass",St. Louis Cardinals,0,8,5,18, Busch Stadium III,45440
Colorado Rockies,1,4,3,5,179.20000000000002,"Night Game, on grass",San Diego Padres,1,8,6,17, Petco Park,23719
Cincinnati Reds,1,15,8,5,237.6,"Night Game, on grass",Pittsburgh Pirates,0,10,7,19, PNC Park,25918
Seattle Mariners,1,17,14,5,184.79999999999998,"Day Game, on grass",Oakland Athletics,0,9,3,13, Oakland-Alameda County Coliseum,18438
Tampa Bay Rays,1,6,1,5,174.39999999999998,"Day Game, on grass",New York Yankees,0,6,5,16, Yankee Stadium III,33460
Cleveland Indians,0,7,1,5,240.79999999999998,"Night Game, on grass",Minnesota Twins,0,7,2,18, Target Field,23584
Los Angeles Dodgers,1,8,5,5,203.2,"Night Game, on grass",Miami Marlins,0,2,0,19, Marlins Park,20933
Chicago Cubs,1,2,1,5,206.4,"Day Game, on grass",Houston Astros,1,5,2,12, Minute Maid Park,41854
Baltimore Orioles,0,12,11,5,188.0,"Night Game, on grass",Detroit Tigers,0,8,3,19, Comerica Park,36634
Kansas City Royals,0,7,6,5,232.8,"Night Game, on grass",Chicago White Sox,1,13,5,18, U.S. Cellular Field,20148
Chicago Cubs,0,5,2,4,174.39999999999998,"Night Game, on grass",Houston Astros,0,7,0,19, Minute Maid Park,33841
Baltimore Orioles,0,5,3,4,206.4,"Night Game, on grass",Detroit Tigers,0,9,4,19, Comerica Park,32140
Kansas City Royals,1,7,2,4,197.6,"Night Game, on grass",Chicago White Sox,3,13,7,19, U.S. Cellular Field,20653
New York Mets,0,6,6,4,207.2,"Night Game, on grass",Atlanta Braves,1,11,4,19, Turner Field,28225
San Francisco Giants,0,12,7,4,336.8,"Night Game, on grass",Arizona Diamondbacks,1,10,6,18, Chase Field,26492
Texas Rangers,0,8,2,4,215.20000000000002,"Night Game, on grass",Los Angeles Angels of Anaheim,0,4,1,19, Angel Stadium of Anaheim,42139
Philadelphia Phillies,1,6,4,3,196.8,"Night Game, on grass",Washington Nationals,1,5,1,19, Nationals Park,25412
Milwaukee Brewers,2,17,12,3,204.0,"Night Game, on grass",St. Louis Cardinals,1,11,5,18, Busch Stadium III,40416
Texas Rangers,0,8,3,3,215.20000000000002,"Night Game, on grass",Seattle Mariners,0,11,6,19, Safeco Field,17493
Colorado Rockies,2,8,1,3,221.6,"Night Game, on grass",San Diego Padres,0,12,14,19, Petco Park,26053
Cincinnati Reds,0,6,1,3,164.79999999999998,"Night Game, on grass",Pittsburgh Pirates,1,11,4,19, PNC Park,22288
Tampa Bay Rays,1,12,4,3,213.6,"Night Game, on grass",New York Yankees,0,10,5,19, Yankee Stadium III,27631
Houston Astros,0,9,7,3,202.4,"Day Game, on grass",Cleveland Indians,0,9,10,12, Progressive Field,15275
Atlanta Braves,0,13,4,2,302.4,"Night Game, on grass",Washington Nationals,0,15,5,20, Nationals Park,19894
Baltimore Orioles,0,10,6,2,220.0,"Day Game, on turf",Tampa Bay Rays,1,13,7,13, Tropicana Field,10537
Texas Rangers,0,7,3,2,168.0,"Night Game, on grass",Seattle Mariners,1,8,8,19, Safeco Field,15434
Boston Red Sox,0,9,7,2,181.6,"Night Game, on grass",San Diego Padres,1,7,2,18, Petco Park,31662
St. Louis Cardinals,0,9,3,2,181.6,"Night Game, on grass",Pittsburgh Pirates,1,11,4,19, PNC Park,21523
Los Angeles Angels of Anaheim,1,2,1,2,197.6,"Day Game, on grass",Oakland Athletics,0,10,4,12, Oakland-Alameda County Coliseum,11866
Toronto Blue Jays,1,5,0,2,196.8,"Night Game, on grass",New York Yankees,0,9,2,19, Yankee Stadium III,30501
Kansas City Royals,1,11,5,2,192.8,"Night Game, on grass",Minnesota Twins,1,12,6,19, Target Field,17972
Chicago Cubs,0,3,1,2,206.4,"Night Game, on grass",Milwaukee Brewers,0,5,2,19, Miller Park,23832
Philadelphia Phillies,1,4,0,2,203.2,"Night Game, on grass",Miami Marlins,0,13,6,19, Marlins Park,16592
Arizona Diamondbacks,0,7,1,2,188.0,"Night Game, on grass",Los Angeles Dodgers,1,4,3,19, Dodger Stadium,44352
San Francisco Giants,0,13,5,2,205.60000000000002,"Night Game, on grass",Colorado Rockies,0,11,6,18, Coors Field,23961
Houston Astros,0,12,5,2,189.6,"Night Game, on grass",Cleveland Indians,0,12,6,19, Progressive Field,12063
New York Mets,0,13,6,2,226.4,"Day Game, on grass",Cincinnati Reds,1,13,3,12, Great American Ball Park,13936
Detroit Tigers,1,10,4,2,208.8,"Day Game, on grass",Chicago White Sox,0,13,7,13, U.S. Cellular Field,13078
Atlanta Braves,2,11,7,1,240.79999999999998,"Night Game, on grass",Washington Nationals,0,12,9,19, Nationals Park,17161
Baltimore Orioles,1,14,11,1,192.8,"Night Game, on turf",Tampa Bay Rays,1,8,2,19, Tropicana Field,12207
Texas Rangers,2,15,10,1,250.4,"Night Game, on grass",Seattle Mariners,1,12,7,19, Safeco Field,14615
Boston Red Sox,0,10,5,1,186.4,"Night Game, on grass",San Diego Padres,0,9,1,19, Petco Park,30644
St. Louis Cardinals,2,15,9,1,237.6,"Night Game, on grass",Pittsburgh Pirates,0,12,7,19, PNC Park,20369
Los Angeles Angels of Anaheim,0,5,2,1,142.4,"Night Game, on grass",Oakland Athletics,1,4,3,19, Oakland-Alameda County Coliseum,12298
Toronto Blue Jays,1,11,6,1,213.6,"Night Game, on grass",New York Yankees,0,7,7,19, Yankee Stadium III,27532
Kansas City Royals,0,10,10,1,191.2,"Night Game, on grass",Minnesota Twins,1,8,3,19, Target Field,22194
Chicago Cubs,2,8,5,1,198.4,"Night Game, on grass",Milwaukee Brewers,0,16,12,19, Miller Park,32888
Philadelphia Phillies,1,10,4,1,180.0,"Night Game, on grass",Miami Marlins,0,7,3,19, Marlins Park,16169
Arizona Diamondbacks,0,4,2,1,198.4,"Night Game, on grass",Los Angeles Dodgers,0,11,5,19, Dodger Stadium,42457
San Francisco Giants,0,8,3,1,183.2,"Night Game, on grass",Colorado Rockies,1,4,2,18, Coors Field,22437
Houston Astros,1,7,4,1,184.79999999999998,"Night Game, on grass",Cleveland Indians,0,7,3,19, Progressive Field,11023
New York Mets,1,8,5,1,192.8,"Night Game, on grass",Cincinnati Reds,1,5,3,19, Great American Ball Park,13359
Detroit Tigers,0,7,0,1,206.4,"Night Game, on grass",Chicago White Sox,0,8,2,19, U.S. Cellular Field,15155
Atlanta Braves,0,11,4,0,214.39999999999998,"Day Game, on grass",Washington Nationals,2,9,6,16, Nationals Park,26005
